Security_Name,Yahoo_Ticker
L&T TECHNOLOGY SERVICES LIMITED EQ EQ,LT.NS
NARAYANA HRUDAYALAYA LIMITED EQ EQ,NARAYANA.NS
THE KARNATAKA BANK LIMITED EQ EQ,THE.NS
BEEYU OVERSEAS LIMITED EQ,BEEYU.NS
EROS INTERNATIONAL MEDIA LIMITED EQ,EROS.NS
PASUPATI ACRYLON LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,PASUPATI.NS
ACCENTIA TECHNOLOGIES LIMITED EQ,ACCENTIA.NS
DECCAN CHRONICLE HOLDINGS LTD EQ NEW FV RS. 2/-,DECCAN.NS
GAMMON INDIA LIMITED EQ NEW FV RS.2/-,GAMMON.NS
GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED NEW EQ RS. 2/- NEW EQ RS. 2/-,GUJARAT.NS
PENINSULA LAND LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,PENINSULA.NS
BLUE STAR LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,BLUE.NS
ION EXCHANGE (INDIA) LIMITED EQ NEW FV RE 1/- EQ NEW FV RE 1/-,ION.NS
KEWAL KIRAN CLOTHING LIMITED EQ,KEWAL.NS
MAHINDRA LIFESPACE DEVELOPERS LIMITED EQ EQ,MAHINDRA.NS
PARAMOUNT COSMETICS (INDIA) LIMITED EQ,PARAMOUNT.NS
RATHI ISPAT LIMITED EQ,RATHI.NS
RATHI STEEL AND POWER LIMITED EQ EQ,RATHI.NS
THE INDIAN HOTELS COMPANY LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,THE.NS
CENTURY ENKA LIMITED EQ,CENTURY.NS
S.A.L STEEL LIMITED EQ,SAL.NS
TCFC FINANCE LIMITED EQ,TCFC.NS
V I P INDUSTRIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,V.NS
CONCURRENT (I) INFRASTRUCTURE LTD EQ,COMPANYNCURRENT.NS
KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR B 9.49 NCD 08OT29 FVRS1LAC SR B 9.49 NCD 08OT29 FVRS1LAC,KERALA.NS
PLETHICO PHARMACEUTICALS LIMITED EQ,PLETHICOMPANY.NS
SBI HOME FINANCE LIMITED EQ EQ,SBI.NS
HEMISPHERE PROPERTIES INDIA LIMITED EQ EQ,HEMISPHERE.NS
NATIONAL FERTILIZERS LIMITED EQ,NATIONAL.NS
RAMKRISHNA FORGINGS LTD EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,RAMKRISHNA.NS
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED EQ FV RS. 1/- EQ FV RS. 1/-,SAMVARDHANA.NS
BIO NATURAL INGREDIENTS PRIVATE LIMITED EQ EQ,BIO.NS
GOLDMINE ASSETS PRIVATE LIMITED EQ EQ,GOLDMINE.NS
GOLDMINE COMMODITIES PRIVATE LIMITED EQ EQ,GOLDMINE.NS
GOLDMINE MULTITRADE PRIVATE LIMITED EQ EQ,GOLDMINE.NS
GOLDMINE VYAPAR PRIVATE LIMITED EQ EQ,GOLDMINE.NS
GOLDMINE WEALTH PRIVATE LIMITED EQ EQ,GOLDMINE.NS
K V AGRO PRODUCTS PRIVATE LIMITED EQ EQ,K.NS
SOUTH ASIAN ENTERPRISES LIMITED EQ EQ,SOUTH.NS
ALEMBIC PHARMACEUTICALS LIMITED EQ,ALEMBIC.NS
HAPPY FORGINGS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,HAPPY.NS
HYUNDAI MOTOR INDIA LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,HYUNDAI.NS
INNOVA CAPTAB LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,INNOVA.NS
AMNS PORTS INDIA LIMITED EQ EQ,AMNS.NS
DR. LAL PATHLABS LIMITED EQ NEW FV RS. 10/- EQ NEW FV RS. 10/-,DR.NS
ESSAR PORTS LIMITED EQ NEW RS 10/- EQ NEW RS 10/-,ESSAR.NS
ESSAR SHIPPING LIMITED EQ EQ,ESSAR.NS
HINDUSTAN ORGANIC CHEMICALS LIMITED EQ,HINDUSTAN.NS
KSS LIMITED EQ NEW FV RE. 1/-,KSS.NS
MANALI PETROCHEMICAL LIMITED EQ NEW FV RS. 5/-,MANALI.NS
NAYARA ENERGY LIMITED 8 NCD 15DC25 FVRS350,NAYARA.NS
RATTANINDIA POWER LIMITED EQ,RATTANINDIA.NS
SALAYA BULK TERMINALS LIMITED EQ,SALAYA.NS
THE LAKSHMI VILAS BANK LIMITED EQ,THE.NS
ZYLOG SYSTEMS LIMITED EQ NEW FV RS.5/-,ZYLOG.NS
MAX FINANCIAL SERVICES LIMITED EQ NEW FV RS. 2/-,MAX.NS
MAX HEALTHCARE INSTITUTE LIMITED EQ EQ,MAX.NS
MAX INDIA LIMITED EQ EQ,MAX.NS
PROCTER & GAMBLE HEALTH LIMITED EQ,PROCTER.NS
AVON CORPORATION LIMITED EQ EQ,AVON.NS
BELRISE INDUSTRIES LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,BELRISE.NS
BIRLA COTSYN (INDIA) LIMITED EQ NEW F.V RE.1/- EQ NEW F.V RE.1/-,BIRLA.NS
CLENON ENTERPRISES LIMITED EQ NEW FV RS 10/- EQ NEW FV RS 10/-,CLENON.NS
GANESH INFRAWORLD LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,GANESH.NS
ODIGMA CONSULTANCY SOLUTIONS LIMITED EQ EQ,ODIGMA.NS
ORIENT GREEN POWER COMPANY LIMITED EQ EQ,ORIENT.NS
PB FINTECH LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,PB.NS
RASHI PERIPHERALS LIMITED EQ NEW FV RS.5/- EQ NEW FV RS.5/-,RASHI.NS
REGAAL RESOURCES LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,REGAAL.NS
SASTASUNDAR VENTURES LIMITED EQ,SASTASUNDAR.NS
SESHAASAI TECHNOLOGIES LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,SESHAASAI.NS
TD POWER SYSTEMS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,TD.NS
CITY TILES LIMITED EQ,CITY.NS
NATIONAL HIGHWAYS AUTHORITY OF INDIA SR IIB 7.6 BD 11JN31 FVRS1000,NATIONAL.NS
SINTEX PLASTICS TECHNOLOGY LIMITED EQ NEW FV RE. 1/-,SINTEX.NS
HINDOOSTAN MILLS LIMITED EQ,HINDOOSTAN.NS
KALYAN JEWELLERS INDIA LIMITED EQ EQ,KALYAN.NS
MILLENNIUM ONLINE SOLUTIONS (INDIA) LIMITED EQ NEW FV RE. 1/-,MILLENNIUM.NS
PRITHVI INFORMATION SOLUTIONS LTD EQ,PRITHVI.NS
STANROSE MAFATLAL INVESTMENTS AND FINANCE LIMITED EQ,STANROSE.NS
INFO EDGE (INDIA) LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,INFO.NS
MIC ELECTRONICS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,MIC.NS
CORE HEALTHCARE LIMITED EQ,COMPANYRE.NS
PROMACT IMPEX LIMITED EQ,PROMACT.NS
