Ticker,RELINFRA.NS,RELINFRA.NS,RELINFRA.NS,RELINFRA.NS,RELINFRA.NS,RELINFRA.NS
10-10-2022,157.6999969,157.6999969,159.1499939,155,156,1684482
11-10-2022,149.8500061,149.8500061,155.75,149.8500061,154.3500061,907921
12-10-2022,142.6999969,142.6999969,147,142.3999939,146,922602
13-10-2022,142.3500061,142.3500061,145.3000031,140.1499939,143.0500031,536787
14-10-2022,138.8500061,138.8500061,145.6999969,138.25,144.8999939,686736
17-10-2022,138.6999969,138.6999969,143.5,135.75,139.1999969,1033973
18-10-2022,143.6999969,143.6999969,145.6000061,140,140.3999939,1125584
19-10-2022,141.3500061,141.3500061,143.8999939,138,143.0500031,821540
20-10-2022,139.1000061,139.1000061,142.5,138.6999969,142.5,319174
21-10-2022,139.1499939,139.1499939,144,137.75,140,618415
24-10-2022,139.1499939,139.1499939,139.1499939,139.1499939,139.1499939,0
25-10-2022,141.6000061,141.6000061,143,139,143,426227
27-10-2022,141.8500061,141.8500061,142.8999939,139.1000061,142.3999939,524257
28-10-2022,141.8999939,141.8999939,144,140.5,142,455801
31-10-2022,141.4499969,141.4499969,144,138.3000031,143.8000031,531686
01-11-2022,140.6499939,140.6499939,143,138.1000061,140.25,288236
02-11-2022,140.5500031,140.5500031,142,139,142,258410
03-11-2022,140.1499939,140.1499939,142.3000031,139.1999969,140.0500031,198576
04-11-2022,147.1499939,147.1499939,147.1499939,139,139.1999969,757938
07-11-2022,152.9499969,152.9499969,153.8999939,145.1000061,147.8000031,1085314
09-11-2022,146.6499939,146.6499939,154.9499969,145.6499939,154.8999939,704574
10-11-2022,142.8500061,142.8500061,148.3999939,141.5,146.9499969,467484
11-11-2022,146.1999969,146.1999969,148.8000031,142.8500061,144.3999939,602577
14-11-2022,153.3999939,153.3999939,153.5,145,149.25,1284679
15-11-2022,151.3500061,151.3500061,156.6999969,150.6499939,152.3000031,609981
16-11-2022,148.6499939,148.6499939,153.1999969,147.6499939,151,607053
17-11-2022,146.0500031,146.0500031,150.4499969,145.6000061,148.5500031,528087
18-11-2022,147.6499939,147.6499939,152.25,147.25,147.3500061,561945
21-11-2022,145.25,145.25,148.3999939,144.3500061,147.5,428059
22-11-2022,141.3000031,141.3000031,147,140,147,478052
23-11-2022,146.1499939,146.1499939,147.8500061,141.5,142.3999939,496347
24-11-2022,147.0500031,147.0500031,150.5,143.5,143.5,387242
25-11-2022,154.3000031,154.3000031,154.3999939,144.9499969,147.6999969,1571226
28-11-2022,153.6499939,153.6499939,159.1999969,153,154.3999939,1218304
29-11-2022,154.1499939,154.1499939,158,152.1000061,154.3500061,801793
30-11-2022,157.6999969,157.6999969,160.8999939,153.1000061,155,2694941
01-12-2022,156.1000061,156.1000061,159.1000061,154.8500061,157,697198
02-12-2022,162.8999939,162.8999939,163.75,154.1000061,158,1604661
05-12-2022,157.8999939,157.8999939,164.3500061,157.1499939,164.3500061,945767
06-12-2022,156.3999939,156.3999939,160.6499939,155.3000031,155.5,1088807
07-12-2022,154.1999969,154.1999969,157.6999969,152.5500031,157.5500031,651013
08-12-2022,154.0500031,154.0500031,156.8000031,152.1000061,154.1999969,596748
09-12-2022,154.75,154.75,160.6999969,154.1000061,155.3000031,1378551
12-12-2022,161.8000031,161.8000031,162.4499969,153,155.25,2971065
13-12-2022,157.25,157.25,164,156.75,164,1937271
14-12-2022,156.6499939,156.6499939,161.6999969,153.1499939,155.6000061,3110155
15-12-2022,148.8999939,148.8999939,155.6999969,148.8500061,154,2178314
16-12-2022,151.1000061,151.1000061,154.6999969,149.6000061,151.8999939,1931417
19-12-2022,150.6499939,150.6499939,152.9499969,149.5,151.6999969,646768
20-12-2022,149.8000031,149.8000031,152,148.1999969,151,654972
21-12-2022,142.5500031,142.5500031,150.8000031,142.3500061,150.5500031,1529900
22-12-2022,135.4499969,135.4499969,144,135.4499969,142.3999939,1971677
23-12-2022,128.6999969,128.6999969,133,128.6999969,131.1000061,1476930
26-12-2022,128.1999969,128.1999969,132.3999939,122.3000031,125,4057278
27-12-2022,134.6000061,134.6000061,134.6000061,127.4000015,129.1000061,1939011
28-12-2022,136.5,136.5,141.3000031,134.3500061,134.6999969,2098211
29-12-2022,135.8000031,135.8000031,137.0500031,133.6000061,136.5,880834
30-12-2022,137.6999969,137.6999969,140.8500061,136.5,136.6999969,950381
02-01-2023,137.8500061,137.8500061,139.8999939,136.8500061,139.4499969,643832
03-01-2023,138.6000061,138.6000061,142.3000031,137.5,137.6999969,788896
04-01-2023,136.4499969,136.4499969,140.5,135,138.8999939,838291
05-01-2023,133.75,133.75,137.8999939,131.9499969,137.8000031,1120318
06-01-2023,130.1999969,130.1999969,134.5,129.8000031,134.3999939,1128076
09-01-2023,135.0500031,135.0500031,135.8000031,131.5,132.5500031,820578
10-01-2023,133,133,136.6499939,132.6999969,136.3999939,481501
11-01-2023,134.3000031,134.3000031,135.25,132.8500061,134.1000061,537859
12-01-2023,132.3000031,132.3000031,135.6000061,131.5,135.1000061,727931
13-01-2023,132.6499939,132.6499939,134.4499969,131.5500031,133,760923
16-01-2023,139.25,139.25,139.25,133.8000031,134.1499939,716375
17-01-2023,141.3000031,141.3000031,145,140.25,141.6000061,1635698
18-01-2023,139.5,139.5,142.8500061,139,141.8999939,718448
19-01-2023,137.5,137.5,142.75,137,139.25,749354
20-01-2023,136.25,136.25,140.3000031,135.6999969,137.5,1399790
23-01-2023,133.6999969,133.6999969,139,132.8999939,139,591735
24-01-2023,132.1000061,132.1000061,135.1499939,131.75,135.0500031,469018
25-01-2023,128.1499939,128.1499939,132.8999939,127.6500015,132.0500031,742820
27-01-2023,121.9000015,121.9000015,130.3999939,121.75,128.0500031,1348564
30-01-2023,119.1500015,119.1500015,123.8000031,117.5500031,120.0999985,1210695
31-01-2023,125.0999985,125.0999985,125.0999985,119.3499985,121,881510
01-02-2023,122.25,122.25,130.6999969,120.3499985,127,1374551
02-02-2023,121.3000031,121.3000031,125.9000015,118.8000031,122.0500031,1155689
03-02-2023,121.4000015,121.4000015,124.5999985,115.3499985,121,1573613
06-02-2023,124.4499969,124.4499969,126.5999985,119.5,119.6999969,1205797
07-02-2023,123.25,123.25,126.4499969,122.0999985,125,658418
