Security Name,Ticker
DISH TV INDIA LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,DISHTV.NS
SITI NETWORKS LIMITED EQ EQ,SITINET.NS
TATA CONSUMER PRODUCTS LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,TATACONSUM.NS
THE FEDERAL BANK LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,FEDERALBNK.NS
TANLA PLATFORMS LIMITED EQ NEW RE.1/- EQ NEW RE.1/-,TANLA.NS
ADVANCED ENZYME TECHNOLOGIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,ADVENZYMES.NS
ROLTA INDIA LIMITED EQ,ROLTA.NS
PURAVANKARA LIMITED EQ EQ,PURVA.NS
NETWORK18 MEDIA & INVESTMENTS LIMITED EQ EQ,NETWORK18.NS
JSW HOLDINGS LIMITED EQ,JSWHL.NS
ETERNAL LIMITED EQ EQ,ETERNAL.NS
TRIVENI TURBINE LIMITED EQ EQ,TRIVENI.NS
CYIENT LTD.,CYIENT.NS
NAVIN FLUORINE INTERNATIONAL LTD EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,NAVINFLUOR.NS
JAYASWAL NECO INDUSTRIES LIMITED EQ EQ,JAYNECOIND.NS
OLECTRA GREENTECH LIMITED EQ,OLECTRA.NS
CREDO BRANDS MARKETING LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,MUFTI.NS
BAJAJ FINANCE LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,BAJFINANCE.NS
TATA CONSULTANCY SERVICES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,TCS.NS
STANDARD INDUSTRIES LIMITED EQ,SIL.NS
BALMER LAWRIE AND COMPANY LIMITED EQ EQ,BALMLAWRIE.NS
ROSSARI BIOTECH LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,ROSSARI.NS
ADITYA BIRLA FASHION AND RETAIL LIMITED EQ EQ,ABFRL.NS
TATA CHEMICALS LIMITED EQ EQ,TATACHEM.NS
QUICK HEAL TECHNOLOGIES LIMITED EQ EQ,QUICKHEAL.NS
BHARAT DYNAMICS LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,BDL.NS
MAX HEALTHCARE INSTITUTE LIMITED EQ EQ,MAXHEALTH.NS
HINDUSTAN PETROLEUM CORPORATION LIMITED EQ EQ,HINDPETRO.NS
DREDGING CORPORATION OF INDIA LIMITED EQ EQ,DREDGECORP.NS
BSE LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,BSE.NS
AUROBINDO PHARMA LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,AUROPHARMA.NS
VISHNU PRAKASH R PUNGLIA LIMITED EQ,VPRPL.NS
BIRLA CABLE LIMITED EQ,BIRLACABLE.NS
PRAKASH PIPES LIMITED EQ EQ,PRAKASH.NS
KERNEX MICROSYSTEMS (INDIA) LIMITED EQ EQ,KERNEX.NS
HAPPIEST MINDS TECHNOLOGIES LIMITED EQ EQ,HAPPSTMNDS.NS
MRF LIMITED EQ,MRF.NS
CIE AUTOMOTIVE INDIA LIMITED EQ EQ,CIEINDIA.NS
MOIL LIMITED EQ NEW F.V. RS.10/-,MOIL.NS
NATIONAL ALUMINIUM COMPANY LIMITED EQ NEW F.V. RS.5/- EQ NEW F.V. RS.5/-,NATIONALUM.NS
IGARASHI MOTORS INDIA LIMITED EQ,IGARASHI.NS
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,ADANIPORTS.NS
IRCON INTERNATIONAL LIMITED EQ NEW FV RS. 2/-,IRCON.NS
ASIAN PAINTS LIMITED EQ NEW FV Re. 1/- EQ NEW FV Re. 1/-,ASIANPAINT.NS
RELIANCE HOME FINANCE LIMITED EQ EQ,RHFL.NS
CANARA BANK EQ NEW FV RS 2/- EQ NEW FV RS 2/-,CANBK.NS
SUN PHARMACEUTICAL INDUSTRIES LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,SUNPHARMA.NS
SHIPPING CORPORATION OF INDIA LAND AND ASSETS LIMITED EQ EQ,SCILAL.NS
FUSION FINANCE LIMITED EQ EQ,FUSION.NS
NDR AUTO COMPONENTS LIMITED EQ EQ,NDRAUTO.NS
AXIS BANK LIMITED EQ NE FV RS. 2/- EQ NE FV RS. 2/-,AXISBANK.NS
DCM SHRIRAM INDUSTRIES LIMITED EQ NEW FV RS. 2/-,DCM.NS
JSW STEEL LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,JSWSTEEL.NS
ASHOK LEYLAND LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,ASHOKLEY.NS
SIEMENS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,SIEMENS.NS
BAJAJ HOLDINGS & INVESTMENT LIMITED. EQ EQ,BAJAJHLDNG.NS
ALLCARGO TERMINALS LIMITED EQ NEW FV RS 2/-,ALLCARGO.NS
MARUTI SUZUKI INDIA LIMITED EQ EQ,MARUTI.NS
INNOVATIVE TYRES & TUBES LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,INNOVATIVE.NS
INDIAN OVERSEAS BANK EQ EQ,INDIANB.NS
YES BANK LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,YESBANK.NS
GRASIM INDUSTRIES LTD EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,GRASIM.NS
DATAMATICS GLOBAL SERVICES LIMITED EQ EQ,DATAMATICS.NS
TRIVENI ENGINEERING AND INDUSTRIES LIMITED EQ NEW FV RS 1/- EQ NEW FV RS 1/-,TRIVENI.NS
MOTILAL OSWAL FINANCIAL SERVICES LIMITED EQ NEW RS.1/- EQ NEW RS.1/-,MOTILALOFS.NS
HEMISPHERE PROPERTIES INDIA LIMITED EQ EQ,HEMIPROP.NS
GITANJALI GEMS LIMITED EQ,GITANJALI.NS
MONTE CARLO FASHIONS LIMITED EQ EQ,MONTECARLO.NS
APOLLO TYRES LIMITED EQ RE.1/-,APOLLOTYRE.NS
BHARAT HEAVY ELECTRICALS LIMITED EQ NEW FV RS. 2/-,BHEL.NS
CONTAINER CORPORATION OF INDIA LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,CONCOR.NS
INDIAN OIL CORPORATION LIMITED EQ,IOC.NS
ATUL LIMITED EQ EQ,ATUL.NS
IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED EQ,IL&FSENGG.NS
DABUR INDIA LIMITED EQ F.V. RE.1 EQ F.V. RE.1,DABUR.NS
BANDHAN BANK LIMITED EQ EQ,BANDHANBNK.NS
TORRENT POWER LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,TORNTPOWER.NS
ADITYA BIRLA CAPITAL LIMITED EQ EQ,ABCAPITAL.NS
OIL AND NATURAL GAS CORPORATION LIMITED EQ NEW F.V RS.5/- EQ NEW F.V RS.5/-,ONGC.NS
HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED EQ EQ,HUDCO.NS
PROCTER & GAMBLE HEALTH LIMITED EQ,PGHL.NS
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED EQ EQ,ICICIGI.NS
OSWAL AGRO MILLS LIMITED EQ,OSWALAGRO.NS
BANK OF INDIA EQ EQ,BANKINDIA.NS
ALKEM LABORATORIES LIMITED EQ,ALKEM.NS
WINSOME DIAMONDS AND JEWELLERY LIMITED EQ,WINSOME.NS
PNB HOUSING FINANCE LIMITED EQ EQ,PNBHOUSING.NS
PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED EQ NEW FV Rs.5/- EQ NEW FV Rs.5/-,PARAS.NS
