Security Name
GOLDMINE MULTITRADE PRIVATE LIMITED EQ EQ
INDIA INFRASTRUCTURE FINANCE COMPANY LIMITED 7.36/7.86BD 22JN28 FVRS1000 LOA UPTO 16AP13
VASCON ENGINEERS LIMITED EQ. EQ.
EROS INTERNATIONAL MEDIA LIMITED EQ
GODREJ AGROVET LIMITED EQ EQ
KSS LIMITED EQ NEW FV RE. 1/-
INDIA CEMENTS LIMITED EQ
NIIT LEARNING SYSTEMS LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-
ZYDUS LIFESCIENCES LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-
ANTHEM BIOSCIENCES LIMITED EQ NEW FV Rs. 2/- EQ NEW FV Rs. 2/-
IVRCL LIMITED EQ NEW FV RS. 2/-
RATHI STEEL AND POWER LIMITED EQ EQ
SINTEX PLASTICS TECHNOLOGY LIMITED EQ NEW FV RE. 1/-
PIRAMAL FINANCE LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-
ELECTROSTEEL CASTINGS LIMITED EQ NEW RE.1/- EQ NEW RE.1/-
ANIL LIMITED EQ
REMI EDELSTAHL TUBULARS LIMITED EQ
HELIOS & MATHESAN INFORMATION TECHNOLOGY LTD EQ
STURDY INDUSTRIES LIMITED EQ NEW F.V. RS.2/-
MILLENNIUM ONLINE SOLUTIONS (INDIA) LIMITED EQ NEW FV RE. 1/-
ATV PROJECTS INDIA LIMITED EQ
STANROSE MAFATLAL INVESTMENTS AND FINANCE LIMITED EQ
MIC ELECTRONICS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-
INTEGRA ESSENTIA LIMITED EQ NEW FV RE .1/- EQ NEW FV RE .1/-
TML COMMERCIAL VEHICLES LIMITED EQ EQ
GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED EQ NEW FV RS.2/-
NATIONAL HIGHWAYS AUTHORITY OF INDIA SR IIB 7.6 BD 11JN31 FVRS1000
SARASWATI SAREE DEPOT LIMITED EQ EQ
K V AGRO PRODUCTS PRIVATE LIMITED EQ EQ
PCS TECHNOLOGY LIMITED EQ
ION EXCHANGE (INDIA) LIMITED EQ NEW FV RE 1/- EQ NEW FV RE 1/-
ACTION CONSTRUCTION EQUIPMENT LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-
FUTURISTIC OFFSHORE SERVICES AND CHEMICAL LIMITED EQ EQ
AFCONS INFRASTRUCTURE LIMITED EQ EQ
THE LAKSHMI VILAS BANK LIMITED EQ
PARAMOUNT COSMETICS (INDIA) LIMITED EQ
CANARA ROBECO ASSET MANAGEMENT CO. LTD. EQ EQ
EVINIX ACCESSORIES LIMITED EQ NEW RS.1/-
GUJARAT NRE COKE LIMITED EQ
TEAM INDIA GUARANTY LIMITED EQ NEW EQ NEW
SOUTHERN HERBALS LIMITED EQ
BANSWARA SYNTEX LIMITED EQ NEW FV RS.5/-
EXPO ENGINEERING AND PROJECTS LIMITED EQ NEW F.V. RS.4/- EQ NEW F.V. RS.4/-
BROADCAST INITIATIVES LIMITED EQ
JHAGADIA COPPER LIMITED EQ NEW
SHAHI SHIPPING LIMITED EQ
