Date,Close
2024-04-30,2516.07275390625
2024-05-31,2309.61572265625
2024-06-30,2763.713623046875
2024-07-31,2633.453857421875
2024-08-31,2730.53955078125
2024-09-30,3125.315185546875
2024-10-31,2779.67578125
2024-11-30,3049.38134765625
2024-12-31,3202.140380859375
2025-01-31,2829.951416015625
2025-02-28,2508.8310546875
2025-03-31,2852.587890625
2025-04-30,3300.85888671875
2025-05-31,3743.384033203125
2025-06-30,3649.569091796875
2025-07-31,3282.333740234375
2025-08-31,3132.199951171875
2025-09-30,3383.39990234375
2025-10-31,4289.7001953125
