Date,Close
2024-04-30,82.25
2024-05-31,74.5999984741211
2024-06-30,77.7300033569336
2024-07-31,96.12999725341797
2024-08-31,97.13999938964844
2024-09-30,84.5
2024-10-31,73.44999694824219
2024-11-30,78.73999786376953
2024-12-31,75.48999786376953
2025-01-31,71.79000091552734
2025-02-28,59.52000045776367
2025-03-31,56.290000915527344
2025-04-30,56.81999969482422
2025-05-31,72.91000366210938
2025-06-30,66.08999633789062
2025-07-31,59.150001525878906
2025-08-31,56.099998474121094
2025-09-30,55.02000045776367
2025-10-31,56.0099983215332
