Security Name
CREDO BRANDS MARKETING LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-
KSR FOOTWEAR LIMITED EQ EQ
THAMBBI MODERN SPINNING MILLS LIMITED EQ
ACTION CONSTRUCTION EQUIPMENT LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-
ANIL BIOPLUS LIMITED EQ
ANIL LIMITED EQ
PAE LIMITED EQ EQ
STERLITE ELECTRIC LIMITED EQ EQ
STERLITE GRID 5 LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-
STERLITE TECHNOLOGIES LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-
STL NETWORKS LIMITED EQ EQ
GUJARAT NRE COKE LIMITED EQ
L&T FINANCE LIMITED EQ EQ
LML LIMITED EQ
M.G.F. GROWTH RESEARCH AND INVESMART LIMITED EQ EQ
DILIGENT MEDIA CORPORATION LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-
AADHAR HOUSING FINANCE LIMITED EQ EQ
AUTOMOBILE CORPORATION OF GOA LIMITED EQ EQ
AVANCE TECHNOLOGIES LIMITED EQ NEW FV RE 1/- EQ NEW FV RE 1/-
ELGI EQUIPMENTS LIMITED EQ F.V RS.1/-
EMCURE PHARMACEUTICALS LIMITED EQ EQ
GODREJ AGROVET LIMITED EQ EQ
INDIA PESTICIDES LIMITED. EQ NEW FV Re. 1/- EQ NEW FV Re. 1/-
KAASHYAP TECHNOLOGIES LIMITED EQ NEW FV RE. 1/-
KALPATARU PROJECTS INTERNATIONAL LIMITED EQ NEW F.V RS.2/- EQ NEW F.V RS.2/-
SANSTAR LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-
SARASWATI SAREE DEPOT LIMITED EQ EQ
SHRI LAKSHMI COTSYN LIMITED EQ
TML COMMERCIAL VEHICLES LIMITED EQ EQ
VIKRAM SOLAR LIMITED EQ EQ
W S INDUSTRIES (INDIA) LIMITED EQ EQ
ZENITH HEALTHCARE LIMITED EQ NEW FV RE. 1/-
ASHIMA LIMITED EQ EQ
NOVA STEELS (INDIA) LIMITED EQ
RAAJRATNA METAL INDUSTRIES LTD. PREF 17JL23 PREF 17JL23
SUPREME PETROCHEM LIMITED EQ NEW FV RE.2/-
MODERN INSULATORS LIMITED EQ
WINDSOR MACHINES LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-
HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED 7.51/8.01 BD 16FB28 FVRS1000 LOA UPTO 7MY13 7.51/8.01 BD 16FB28 FVRS1000 LOA UPTO 7MY13
INDIA INFRASTRUCTURE FINANCE COMPANY LIMITED 7.36/7.86BD 22JN28 FVRS1000 LOA UPTO 16AP13
RURAL ELECTRIFICATION CORPORATION LIMITED 7.38 BD 19DC27 FVRS1000
BIRLASOFT LIMITED NEW EQ RS. 2/- NEW EQ RS. 2/-
CENTRAL BANK OF INDIA EQ EQ
CITY UNION BANK LIMITED EQ NEW RS. 1/- EQ NEW RS. 1/-
ENGINEERS INDIA LIMITED EQ NEW F.V. RS.5/-
INDO COUNT INDUSTRIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-
NIPPON INDIA MUTUAL FUND CPSE ETF (RGESS)
SHREE RENUKA SUGARS LIMITED EQ NEW RS.1/-
ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR-I 9.62 BD 30MY31 FVRS10LAC
U.P. POWER CORPORATION LIMITED SR-I-H 9.75 BD 20OT26 FVRS10LAC SR-I-H 9.75 BD 20OT26 FVRS10LAC
U.P. POWER CORPORATION LIMITED SR-I-I 9.75 BD 20OT27 FVRS10LAC SR-I-I 9.75 BD 20OT27 FVRS10LAC
U.P. POWER CORPORATION LIMITED SR-II-I 10.15 BD 20JN28 FVRS10LAC SR-II-I 10.15 BD 20JN28 FVRS10LAC
ASTRA MICROWAVE PRODUCTS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-
INDIAN ENERGY EXCHANGE LIMITED EQ NEW FV RS 1 EQ NEW FV RS 1
INDUS TOWERS LIMITED EQ EQ
JAIN IRRIGATION SYSTEMS LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-
MAZAGON DOCK SHIPBUILDERS LIMITED EQ NEW FV RS.5/- EQ NEW FV RS.5/-
SHRIRAM FINANCE LIMITED EQ NEW FV RE.2/- EQ NEW FV RE.2/-
ZEN TECHNOLOGIES LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-
