Security Name,Ticker
RELIANCE HOME FINANCE LIMITED EQ EQ,RHFL.NS
RELIANCE INDUSTRIES LIMITED EQ EQ,RELIANCE.NS
RELIANCE INFRASTRUCTURE LIMITED EQ,RELINFRA.NS
RELIGARE ENTERPRISES LIMITED EQ EQ,RELIGARE.NS
SHRI DINESH MILLS LIMITED EQ NEW RS. 10/- EQ NEW RS. 10/-,SHREDIGCEM.NS
SUN PHARMACEUTICAL INDUSTRIES LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,SUNPHARMA.NS
SUTLEJ TEXTILES AND INDUSTRIES LIMITED EQ NEW F RE. 1/- EQ NEW F RE. 1/-,SUTLEJTEX.NS
TATA TECHNOLOGIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,TATATECH.NS
TATA TELESERVICES (MAHARASHTRA) LTD EQ EQ,TTML.NS
VODAFONE IDEA LIMITED EQ EQ,IDEA.NS
WALCHANDNAGAR INDUSTRIES LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,WALCHANNAG.NS
ZENSAR TECHNOLOGIES LIMITED EQ NEW FV RS. 2 EQ NEW FV RS. 2,ZENSARTECH.NS
ZYDUS WELLNESS LIMITED EQ NEW FV Rs.2/- EQ NEW FV Rs.2/-,ZYDUSWELL.NS
MCX INDIA LIMITED EQ NEW RS. 10/-,MCX.NS
ABAN OFFSHORE LIMITED EQ NEW FV RS.2/-,ABAN.NS
BANK OF BARODA EQ NEW FV RS. 2/-,BANKBARODA.NS
BHARAT ELECTRONICS LIMITED EQ NEW FV Re 1/-,BEL.NS
BHARAT HEAVY ELECTRICALS LIMITED EQ NEW FV RS. 2/-,BHEL.NS
CASTROL INDIA LIMITED EQ NEW FV RS. 5/-,CASTROLIND.NS
COLGATE-PALMOLIVE (INDIA) LIMITED EQ NEW FV RS.1/-,COLPAL.NS
HDFC ASSET MANAGEMENT COMPANY LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,HDFCAMC.NS
HDFC BANK LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,HDFCBANK.NS
HINDUSTAN AERONAUTICS LIMITED EQ NEW FV RS 5/-,HAL.NS
SUZLON ENERGY LIMITED EQ. NEW RS. 2/- EQ. NEW RS. 2/-,SUZLON.NS
BANK OF MAHARASHTRA EQ EQ,MAHABANK.NS
DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LTD EQ EQ,DEEPAKFERT.NS
DISH TV INDIA LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,DISHTV.NS
HIMADRI SPECIALITY CHEMICAL LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,HSCL.NS
ICICI BANK LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,ICICIBANK.NS
LLOYDS ENGINEERING WORKS LIMITED EQ EQ,LLOYDSENGG.NS
NTPC LIMITED EQ,NTPC.NS
SITI NETWORKS LIMITED EQ EQ,SITINET.NS
TATA CONSULTANCY SERVICES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,TCS.NS
ZEE ENTERTAINMENT ENTERPRISES LIMITED EQ F.V.RE.1 EQ F.V.RE.1,ZEEL.NS
ZEE LEARN LIMITED EQ EQ,ZEELEARN.NS
ZEE MEDIA CORPORATION LIMITED EQ,ZEEMEDIA.NS
ASIAN GRANITO INDIA LIMITED EQ EQ,ASIANTILES.NS
CARTRADE TECH LIMITED EQ EQ,CARTRADE.NS
CYIENT DLM LIMITED EQ EQ,CYIENT.NS
DLF LIMITED EQ NEW FV RS.2/-,DLF.NS
EDELWEISS FINANCIAL SERVICES LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,EDELWEISS.NS
EQUITAS SMALL FINANCE BANK LIMITED EQ EQ,EQUITASBNK.NS
FILATEX INDIA LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,FILATEX.NS
HDFC LIFE INSURANCE COMPANY LIMITED EQ EQ,HDFCLIFE.NS
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED EQ EQ,ICICIPRULI.NS
IDFC FIRST BANK LIMITED EQ EQ,IDFCFIRSTB.NS
INDIAN RAILWAY FINANCE CORPORATION LIMITED EQ,IRFC.NS
INFOSYS LIMITED EQ FV RS 5 EQ FV RS 5,INFY.NS
JSW INFRASTRUCTURE LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,JSWINFRA.NS
KSK ENERGY VENTURES LIMITED EQ EQ,KSK.NS
MONTE CARLO FASHIONS LIMITED EQ EQ,MONTECARLO.NS
MOREPEN LABORATORIES LIMITED EQ F.V.RS.2 EQ F.V.RS.2,MOREPENLAB.NS
NHPC LIMITED EQ EQ,NHPC.NS
OIL AND NATURAL GAS CORPORATION LIMITED EQ NEW F.V RS.5/- EQ NEW F.V RS.5/-,ONGC.NS
OIL INDIA LIMITED EQ EQ,OIL.NS
OSWAL GREENTECH LIMITED EQ,OSWALGREEN.NS
PATEL ENGINEERING LIMITED EQ NEW FV RE.1 EQ NEW FV RE.1,PATELENG.NS
PNB HOUSING FINANCE LIMITED EQ EQ,PNBHOUSING.NS
POWER FINANCE CORPORATION LIMITED EQ EQ,PFC.NS
PRECISION CAMSHAFTS LIMITED EQ NEW FV RS. 10/-,PRECISION.NS
ROYALE MANOR HOTELS AND INDUSTRIES LIMITED EQ EQ,ROHLTD.NS
SHIPPING CORPORATION OF INDIA LAND AND ASSETS LIMITED EQ EQ,SCILAL.NS
SHYAM METALICS AND ENERGY LIMITED EQ EQ,SHYAMMETL.NS
STANDARD INDUSTRIES LIMITED EQ,SIL.NS
STATE BANK OF INDIA EQ NEW RE. 1/- EQ NEW RE. 1/-,SBIN.NS
TAKE SOLUTIONS LIMITED EQ NEW RE.1/-,TAKE.NS
TAMILNADU PETROPRODUCTS LIMITED EQ,TNPETRO.NS
TATA MOTORS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,TATAMOTORS.NS
THE SHIPPING CORPORATION OF INDIA LIMITED EQ EQ,SCI.NS
ULTRATECH CEMENT LIMITED EQ EQ,ULTRACEMCO.NS
UTI ASSET MANAGEMENT COMPANY LIMITED EQ EQ,UTIAMC.NS
VEDANTA LIMITED EQ NEW RS.1/- EQ NEW RS.1/-,VEDL.NS
VISHNU PRAKASH R PUNGLIA LIMITED EQ,VPRPL.NS
WIPRO LIMITED EQ F.V. RS. 2 EQ F.V. RS. 2,WIPRO.NS
PATEL INTEGRATED LOGISTICS LIMITED (CN) EQ EQ,PATINTLOG.NS
RATNAMANI METALS AND TUBES LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,RATNAMANI.NS
ADITYA BIRLA CAPITAL LIMITED EQ EQ,ABCAPITAL.NS
SHRIRAM PISTONS & RINGS LIMITED EQ,SHRIPISTON.NS
DREDGING CORPORATION OF INDIA LIMITED EQ EQ,DREDGECORP.NS
GAIL (INDIA) LIMITED EQ,GAIL.NS
POWER FINANCE CORPORATION LIMITED 7.36 BD 04JN28 FVRS1000 7.36 BD 04JN28 FVRS1000,PFC.NS
ADANI POWER LIMITED EQ NEW FV Rs.2/- EQ NEW FV Rs.2/-,ADANIPOWER.NS
ADANI TOTAL GAS LIMITED EQ NEW FV RE. 1/-,ATGL.NS
DCB BANK LIMITED EQ EQ,DCBBANK.NS
DISHMAN CARBOGEN AMCIS LIMITED EQ EQ,DCAL.NS
ITI LIMITED EQ,ITI.NS
LUPIN LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,LUPIN.NS
