Date,Close
2024-04-30,684.671875
2024-05-31,662.3375244140625
2024-06-30,707.1912841796875
2024-07-31,676.5205078125
2024-08-31,715.599365234375
2024-09-30,765.5759887695312
2024-10-31,684.749755859375
2024-11-30,653.5572509765625
2024-12-31,678.1156616210938
2025-01-31,783.6743774414062
2025-02-28,847.7987060546875
2025-03-31,889.0739135742188
2025-04-30,858.15478515625
2025-05-31,918.0499877929688
2025-06-30,936.5
2025-07-31,881.2000122070312
2025-08-31,877.8499755859375
2025-09-30,998.9000244140625
2025-10-31,1086.5
