Date,Close
2024-04-30,598.4519653320312
2024-05-31,595.3779296875
2024-06-30,729.3159790039062
2024-07-31,781.1246948242188
2024-08-31,756.0669555664062
2024-09-30,664.9430541992188
2024-10-31,692.9546508789062
2024-11-30,747.4024658203125
2024-12-31,740.0673217773438
2025-01-31,858.694580078125
2025-02-28,728.8540649414062
2025-03-31,691.7426147460938
2025-04-30,710.1009521484375
2025-05-31,822.2247314453125
2025-06-30,831.601318359375
2025-07-31,806.1500244140625
2025-08-31,768.0999755859375
2025-09-30,763.0999755859375
2025-10-31,779.9000244140625
