Date,Close
2024-04-30,2514.446044921875
2024-05-31,2528.94580078125
2024-06-30,2608.5205078125
2024-07-31,2580.234375
2024-08-31,2319.785888671875
2024-09-30,2503.344970703125
2024-10-31,2311.071044921875
2024-11-30,2213.614501953125
2024-12-31,2044.2481689453125
2025-01-31,1999.5784912109375
2025-02-28,1811.23876953125
2025-03-31,1934.83984375
2025-04-30,1880.4095458984375
2025-05-31,1875.23046875
2025-06-30,1917.199951171875
2025-07-31,1788.4000244140625
2025-08-31,1801.800048828125
2025-09-30,1824.699951171875
2025-10-31,1848.9000244140625
