Security_Name
KSR FOOTWEAR LIMITED EQ EQ
REC LIMITED EQ
THAMBBI MODERN SPINNING MILLS LIMITED EQ
ANIL BIOPLUS LIMITED EQ
ANIL LIMITED EQ
SHRI DINESH MILLS LIMITED EQ NEW RS. 10/- EQ NEW RS. 10/-
STERLITE ELECTRIC LIMITED EQ EQ
STERLITE GRID 5 LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-
GUJARAT NRE COKE LIMITED EQ
LML LIMITED EQ
M.G.F. GROWTH RESEARCH AND INVESMART LIMITED EQ EQ
NTPC LIMITED EQ
AUTOMOBILE CORPORATION OF GOA LIMITED EQ EQ
KSK ENERGY VENTURES LIMITED EQ EQ
ROYALE MANOR HOTELS AND INDUSTRIES LIMITED EQ EQ
SHRI LAKSHMI COTSYN LIMITED EQ
TML COMMERCIAL VEHICLES LIMITED EQ EQ
W S INDUSTRIES (INDIA) LIMITED EQ EQ
ZENITH HEALTHCARE LIMITED EQ NEW FV RE. 1/-
NOVA STEELS (INDIA) LIMITED EQ
RAAJRATNA METAL INDUSTRIES LTD. PREF 17JL23 PREF 17JL23
MODERN INSULATORS LIMITED EQ
HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED 7.51/8.01 BD 16FB28 FVRS1000 LOA UPTO 7MY13 7.51/8.01 BD 16FB28 FVRS1000 LOA UPTO 7MY13
INDIA INFRASTRUCTURE FINANCE COMPANY LIMITED 7.36/7.86BD 22JN28 FVRS1000 LOA UPTO 16AP13
POWER FINANCE CORPORATION LIMITED 7.36 BD 04JN28 FVRS1000 7.36 BD 04JN28 FVRS1000
RURAL ELECTRIFICATION CORPORATION LIMITED 7.38 BD 19DC27 FVRS1000
ITI LIMITED EQ
NIPPON INDIA MUTUAL FUND CPSE ETF (RGESS)
ANDHRA PRADESH STATE BEVERAGES CORPORATION LIMITED SR-I 9.62 BD 30MY31 FVRS10LAC
U.P. POWER CORPORATION LIMITED SR-I-H 9.75 BD 20OT26 FVRS10LAC SR-I-H 9.75 BD 20OT26 FVRS10LAC
U.P. POWER CORPORATION LIMITED SR-I-I 9.75 BD 20OT27 FVRS10LAC SR-I-I 9.75 BD 20OT27 FVRS10LAC
U.P. POWER CORPORATION LIMITED SR-II-I 10.15 BD 20JN28 FVRS10LAC SR-II-I 10.15 BD 20JN28 FVRS10LAC
AMBALAL SARABHAI ENTERPRISES LIMITED EQ EQ
BINANI INDUSTRIES LIMITED EQ
DYNAMIC INDUSTRIES LIMITED EQ
EMMESSAR BIOTECH AND NUTRITION LTD EQ EQ
EXPO ENGINEERING AND PROJECTS LIMITED EQ NEW F.V. RS.4/- EQ NEW F.V. RS.4/-
GTN INDUSTRIES LIMITED EQ
GTN TEXTILES LIMITED EQ
INDIA STEEL WORKS LIMITED EQ NEW FV RE 1/- EQ NEW FV RE 1/-
JYOTI LIMITED EQ EQ
METALMAN INDUSTRIES LIMITED EQ
MUKAT PIPES LIMITED EQ NEW FV RS. 5/-
ORG INFORMATICS LIMITED EQ
PHAARMASIA LIMITED EQ
SICAGEN INDIA LIMITED EQ
SOM DATT FINANCE CORPORATION LTD EQ EQ
STEELCO GUJARAT LIMITED EQ NEW FV RS 10/- EQ NEW FV RS 10/-
STURDY INDUSTRIES LIMITED EQ NEW F.V. RS.2/-
TCI DEVELOPERS LIMITED EQ
ATV PROJECTS INDIA LIMITED EQ
GOL OFFSHORE LIMITED EQ EQ
INDIAN ACRYLICS LIMITED EQ EQ
KIRLOSKAR FERROUS INDUSTRIES LTD EQ NEW FV RS.5/- EQ NEW FV RS.5/-
KOTHARI FERMENTATION AND BIOCHEM LIMITED EQ EQ
LOTUS CHOCOLATE COMPANY LIMITED EQ EQ
PCS TECHNOLOGY LIMITED EQ
VIDEOCON INDUSTRIES LIMITED EQ EQ
ELANTAS BECK INDIA LIMITED EQ
FUTURISTIC OFFSHORE SERVICES AND CHEMICAL LIMITED EQ EQ
MAFATLAL INDUSTRIES LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-
PHILIPS INDIA LIMITED EQ
REMI EDELSTAHL TUBULARS LIMITED EQ
SIGNIFY INNOVATIONS INDIA LIMITED EQ
USHA INDIA LIMITED EQ
VERSUNI INDIA HOME SOLUTIONS LIMITED EQ
GUJARAT PETROSYNTHESE LIMITED EQ
NAYARA ENERGY LIMITED EQ
ANAND RATHI SHARE AND STOCK BROKERS LIMITED ANAND RATHI SHA ANAND RATHI SHA
ARVIND FASHIONS LIMITED (FORMERLY ARVIND J&M LIMITED) EQ NEW FV RS. 4/- EQ NEW FV RS. 4/-
IFSL LIMITED EQ NEW FV RE. 1/-
SAMMAAN FINSERVE LIMITED SR VII CAT III & IV 9.2 LOA 25SP28 FVRS1000 SR VII CAT III & IV 9.2 LOA 25SP28 FVRS1000
TATA CAPITAL LIMITED EQ EQ
CAPRIHANS INDIA LIMITED EQ EQ
IMEC SERVICES LIMITED EQ NEW FV RS 10/- EQ NEW FV RS 10/-
JHAGADIA COPPER LIMITED EQ NEW
NIPPON INDIA MUTUAL FUND ETF LIQUID BeES
SHALIMAR WIRES INDUSTRIES LIMITED EQ NEW F.V. RS.2/-
SUNIL HEALTHCARE LIMITED EQ
BROADCAST INITIATIVES LIMITED EQ
D. B. CORP LIMITED EQ. EQ.
ESS DEE ALUMINIUM LIMITED EQ
EVINIX ACCESSORIES LIMITED EQ NEW RS.1/-
IVRCL LIMITED EQ NEW FV RS. 2/-
JET AIRWAYS (INDIA) LIMITED EQ
ORBIT CORPORATION LIMITED EQ
POCHIRAJU INDUSTRIES LIMITED EQ NEW FV RS.10/-
SYNCOM HEALTHCARE LIMITED EQ EQ
AXIS BANK LIMITED EQ NE FV RS. 2/- EQ NE FV RS. 2/-
ICICI PRUDENTIAL MUTUAL FUND BSE LIQUID ETF IDCW BSE LIQUID ETF IDCW
INNOVATIVE TYRES & TUBES LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-
MORGANITE CRUCIBLE (INDIA) LIMITED EQ NEW FV RS.5/-
REI AGRO LIMITED EQ NEW FV RS.1/-
CANARA ROBECO ASSET MANAGEMENT CO. LTD. EQ EQ
ICICI PRUDENTIAL MUTUAL FUND BHARAT 22 ETF
SANCIA GLOBAL INFRAPROJECTS LIMITED EQ
SURYACHAKRA POWER CORPORATION LIMITED EQ
COMMEX TECHNOLOGY LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-
NOVARTIS INDIA LIMITED EQ FV RS.5 EQ FV RS.5
UTI-MASTERSHARE UNIT SCHEME
EASUN REYROLLE LIMITED EQ NEW RS. 2/-
EMPIRE INDUSTRIES LIMITED EQ
HELIOS & MATHESAN INFORMATION TECHNOLOGY LTD EQ
INDIA CEMENTS LIMITED EQ
VIJAY TEXTILES LIMITED EQ NEW FV RS. 10/-
VISU INTERNATIONAL LIMITED EQ
HDFC MUTUAL FUND DEFENCE  FUND REGULAR PLAN  GROWTH
HDFC MUTUAL FUND MANUFACTURING FD-REGULAR PL-GRWTH MANUFACTURING FD-REGULAR PL-GRWTH
HDFC MUTUAL FUND TECHNOLOGY FD -RG PL-GR
MARICO LIMITED NEW EQ RE.1 NEW EQ RE.1
MRF LIMITED EQ
ADANI AIRPORT HOLDINGS LIMITED SR 2 10 NCD 14MR29 FVRS1LAC SR 2 10 NCD 14MR29 FVRS1LAC
ANDHRA PRADESH CAPITAL REGION DEVELOPMENT AUTHORITY STRPPs E 10.32 BD 16AG28 FVRS2LAC STRPPs E 10.32 BD 16AG28 FVRS2LAC
MUTHOOTTU MINI FINANCIERS LTD SR III 9.75 NCD 29AG28 FVRS1000 SR III 9.75 NCD 29AG28 FVRS1000
NIDO HOME FINANCE LIMITED SR III 9.35 NCD 10SP28 FVRS1000 SR III 9.35 NCD 10SP28 FVRS1000
RADHE DEVELOPERS (INDIA) LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-
YASH MANAGEMENT & SATELLITE LIMITED EQ
ARCH PHARMALABS LIMITED EQ
AURO LABORATORIES LIMITED EQ
BANSISONS TEA INDUSTRIES LIMITED EQ
LAN ESEDA INDUSTRIES LIMITED EQ
NEXTGEN ANIMATION MEDIAA LIMITED EQ
OPAL INDUSTRIES LIMITED EQ
PENTAMEDIA GRAPHICS LTD. EQ NEW RE.1/-
SHAHI SHIPPING LIMITED EQ
SOUTHERN HERBALS LIMITED EQ
WILLARD INDIA LIMITED EQ
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED EQ EQ
PUNJ LLOYD LIMITED EQ NEW FV RS.2/-
CANARA HSBC LIFE INSURANCE COMPANY LIMITED EQ EQ
BEEYU OVERSEAS LIMITED EQ
EROS INTERNATIONAL MEDIA LIMITED EQ
ACCENTIA TECHNOLOGIES LIMITED EQ
DECCAN CHRONICLE HOLDINGS LTD EQ NEW FV RS. 2/-
GAMMON INDIA LIMITED EQ NEW FV RS.2/-
MERCATOR LIMITED EQ NEW FV RS. 1/- EQ NEW FV RS. 1/-
BEML LIMITED EQ
PARAMOUNT COSMETICS (INDIA) LIMITED EQ
RATHI ISPAT LIMITED EQ
RATHI STEEL AND POWER LIMITED EQ EQ
TCFC FINANCE LIMITED EQ
V I P INDUSTRIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-
CONCURRENT (I) INFRASTRUCTURE LTD EQ
GITANJALI GEMS LIMITED EQ
KERALA INFRASTRUCTURE INVESTMENT  FUND BOARD SR B 9.49 NCD 08OT29 FVRS1LAC SR B 9.49 NCD 08OT29 FVRS1LAC
SBI HOME FINANCE LIMITED EQ EQ
BIO NATURAL INGREDIENTS PRIVATE LIMITED EQ EQ
GOLDMINE ASSETS PRIVATE LIMITED EQ EQ
GOLDMINE COMMODITIES PRIVATE LIMITED EQ EQ
GOLDMINE MULTITRADE PRIVATE LIMITED EQ EQ
GOLDMINE VYAPAR PRIVATE LIMITED EQ EQ
GOLDMINE WEALTH PRIVATE LIMITED EQ EQ
K V AGRO PRODUCTS PRIVATE LIMITED EQ EQ
SOUTH ASIAN ENTERPRISES LIMITED EQ EQ
AMNS PORTS INDIA LIMITED EQ EQ
ESSAR PORTS LIMITED EQ NEW RS 10/- EQ NEW RS 10/-
HINDUSTAN ORGANIC CHEMICALS LIMITED EQ
KSS LIMITED EQ NEW FV RE. 1/-
NAYARA ENERGY LIMITED 8 NCD 15DC25 FVRS350
SALAYA BULK TERMINALS LIMITED EQ
THE LAKSHMI VILAS BANK LIMITED EQ
ZYLOG SYSTEMS LIMITED EQ NEW FV RS.5/-
AVON CORPORATION LIMITED EQ EQ
BIRLA COTSYN (INDIA) LIMITED EQ NEW F.V RE.1/- EQ NEW F.V RE.1/-
CLENON ENTERPRISES LIMITED EQ NEW FV RS 10/- EQ NEW FV RS 10/-
GANESH INFRAWORLD LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-
WINSOME DIAMONDS AND JEWELLERY LIMITED EQ
CITY TILES LIMITED EQ
NATIONAL HIGHWAYS AUTHORITY OF INDIA SR IIB 7.6 BD 11JN31 FVRS1000
NTPC LIMITED SR-1B 7.36 BD 05OT25 FVRS1000
SINTEX PLASTICS TECHNOLOGY LIMITED EQ NEW FV RE. 1/-
HINDOOSTAN MILLS LIMITED EQ
MILLENNIUM ONLINE SOLUTIONS (INDIA) LIMITED EQ NEW FV RE. 1/-
PRITHVI INFORMATION SOLUTIONS LTD EQ
PTC INDIA FINANCIAL SERVICES LIMITED SR-2  OP-III  9.15 BD 30MR27 FVRS5000
STANROSE MAFATLAL INVESTMENTS AND FINANCE LIMITED EQ
SPL INDUSTRIES LIMITED EQ
CORE HEALTHCARE LIMITED EQ
PROMACT IMPEX LIMITED EQ
