Security_Name,NSE_Symbol
APCOTEX INDUSTRIES LIMITED EQ NEW FV RS. 2/-,APCOTEXIND
ASIAN PAINTS LIMITED EQ NEW FV Re. 1/- EQ NEW FV Re. 1/-,ASIANPAINT
ATUL LIMITED EQ EQ,ATUL
BALMER LAWRIE AND COMPANY LIMITED EQ EQ,BALMLAWRIE
BHARTI AIRTEL LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,BHARTIARTL
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,CGPOWER
CHAMBAL FERTILISERS AND CHEMICALS LIMITED EQ EQ,CHAMBLFERT
CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED EQ EQ,CROMPTON
DABUR INDIA LIMITED EQ F.V. RE.1 EQ F.V. RE.1,DABUR
ENERGY DEVELOPMENT COMPANY LIMITED EQ,ENERGYDEV
IFCI LIMITED EQ EQ,IFCI
JAI CORP LIMITED EQ NEW RE.1/- EQ NEW RE.1/-,JAICORPLTD
JAIPRAKASH ASSOCIATES LIMITED EQ. NEW RS. 2,JPASSOCIAT
JAY SHREE TEA AND INDUSTRIES LIMITED EQ NEW F.V. RS.5/- EQ NEW F.V. RS.5/-,JAYSREETEA
JINDAL STEEL LIMITED EQ. NEW RS.1 EQ. NEW RS.1,JINDALSTEL
JIO FINANCIAL SERVICES LIMITED EQ EQ,JIOFIN
LARSEN AND TOUBRO LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,LT
LTIMINDTREE LIMITED EQ EQ,LTIM
PAE LIMITED EQ EQ,PAGEIND
POWER GRID CORPORATION OF INDIA LIMITED EQ,POWERGRID
RELIANCE COMMUNICATIONS LIMITED EQ,RCOM
RELIANCE HOME FINANCE LIMITED EQ EQ,RHFL
RELIANCE INDUSTRIES LIMITED EQ EQ,RELIANCE
RELIANCE INFRASTRUCTURE LIMITED EQ,RELINFRA
RELIGARE ENTERPRISES LIMITED EQ EQ,RELIGARE
STERLITE TECHNOLOGIES LIMITED EQ NEW F.V. RS.2/- EQ NEW F.V. RS.2/-,STLTECH
STL NETWORKS LIMITED EQ EQ,STLNETWORK
SUN PHARMACEUTICAL INDUSTRIES LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,SUNPHARMA
SUTLEJ TEXTILES AND INDUSTRIES LIMITED EQ NEW F RE. 1/- EQ NEW F RE. 1/-,SUTLEJTEX
TATA TECHNOLOGIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,TATATECH
TATA TELESERVICES (MAHARASHTRA) LTD EQ EQ,TTML
VODAFONE IDEA LIMITED EQ EQ,IDEA
WALCHANDNAGAR INDUSTRIES LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,WALCHANNAG
ZENSAR TECHNOLOGIES LIMITED EQ NEW FV RS. 2 EQ NEW FV RS. 2,ZENSARTECH
ZYDUS WELLNESS LIMITED EQ NEW FV Rs.2/- EQ NEW FV Rs.2/-,ZYDUSWELL
MCX INDIA LIMITED EQ NEW RS. 10/-,MAXIND
ABAN OFFSHORE LIMITED EQ NEW FV RS.2/-,ABAN
BANK OF BARODA EQ NEW FV RS. 2/-,BANKBARODA
BHARAT ELECTRONICS LIMITED EQ NEW FV Re 1/-,BEL
BHARAT HEAVY ELECTRICALS LIMITED EQ NEW FV RS. 2/-,BHEL
CASTROL INDIA LIMITED EQ NEW FV RS. 5/-,CASTROLIND
COLGATE-PALMOLIVE (INDIA) LIMITED EQ NEW FV RS.1/-,COLPAL
HDFC ASSET MANAGEMENT COMPANY LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,HDFCAMC
HDFC BANK LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,HDFCBANK
HINDUSTAN AERONAUTICS LIMITED EQ NEW FV RS 5/-,HAL
L&T FINANCE LIMITED EQ EQ,LTF
SUZLON ENERGY LIMITED EQ. NEW RS. 2/- EQ. NEW RS. 2/-,SUZLON
BANK OF MAHARASHTRA EQ EQ,MAHABANK
DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LTD EQ EQ,DEEPAKFERT
DILIGENT MEDIA CORPORATION LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,DNAMEDIA
DISH TV INDIA LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,DISHTV
HIMADRI SPECIALITY CHEMICAL LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,HSCL
ICICI BANK LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,ICICIBANK
LLOYDS ENGINEERING WORKS LIMITED EQ EQ,LLOYDSENGG
SITI NETWORKS LIMITED EQ EQ,SITINET
TATA CONSULTANCY SERVICES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,TCS
ZEE ENTERTAINMENT ENTERPRISES LIMITED EQ F.V.RE.1 EQ F.V.RE.1,ZEEL
ZEE LEARN LIMITED EQ EQ,ZEELEARN
ZEE MEDIA CORPORATION LIMITED EQ,ZEEMEDIA
AADHAR HOUSING FINANCE LIMITED EQ EQ,AADHARHFC
ASIAN GRANITO INDIA LIMITED EQ EQ,ASIANTILES
AVANCE TECHNOLOGIES LIMITED EQ NEW FV RE 1/- EQ NEW FV RE 1/-,AVALON
CARTRADE TECH LIMITED EQ EQ,CARTRADE
CYIENT DLM LIMITED EQ EQ,CYIENTDLM
DLF LIMITED EQ NEW FV RS.2/-,DLF
EDELWEISS FINANCIAL SERVICES LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,EDELWEISS
ELGI EQUIPMENTS LIMITED EQ F.V RS.1/-,ELGIEQUIP
EMCURE PHARMACEUTICALS LIMITED EQ EQ,EMCURE
EQUITAS SMALL FINANCE BANK LIMITED EQ EQ,EQUITASBNK
FILATEX INDIA LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,FILATEX
GODREJ AGROVET LIMITED EQ EQ,GODREJAGRO
HDFC LIFE INSURANCE COMPANY LIMITED EQ EQ,HDFCLIFE
