Security_Name,NSE_Symbol
ARVIND SMARTSPACES LIMITED EQ NEW FV RS. 10/- EQ NEW FV RS. 10/-,ARVSMART
INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,IGIL
NTPC GREEN ENERGY LIMITED EQ EQ,NTPCGREEN
BAJAJ HINDUSTHAN SUGAR LIMITED EQ FV RE. 1/-,BAJAJHIND
BERGER PAINTS INDIA LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,BERGEPAINT
EMBASSY DEVELOPMENTS LIMITED EQ EQ,EMBDL
EPIGRAL LIMITED EQ EQ,EPIGRAL
GE VERNOVA T&D INDIA LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,GVT&D
GODAWARI POWER AND ISPAT LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,GPIL
IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED EQ,IL&FSENGG
MEGHMANI ORGANICS LIMITED EQ NEW Re.1/-,MOL
MPHASIS LIMITED EQ EQ,MPHASIS
PARSVNATH DEVELOPERS LIMITED EQ NEW,PARSVNATH
SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED EQ EQ,SCHNEIDER
SIEMENS ENERGY INDIA LIMITED EQ EQ,ENRIN
SIEMENS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,SIEMENS
XCHANGING SOLUTIONS LIMITED EQ,XCHANGING
AMBUJA CEMENTS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,AMBUJACEM
AUROBINDO PHARMA LIMITED EQ NEW F.V. RE.1/- EQ NEW F.V. RE.1/-,AUROPHARMA
BANK OF INDIA EQ EQ,BANKINDIA
BHARAT PETROLEUM CORPORATION LIMITED EQ EQ,BPCL
CANARA BANK EQ NEW FV RS 2/- EQ NEW FV RS 2/-,CANBK
CIPLA LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,CIPLA
COCHIN SHIPYARD LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,COCHINSHIP
EICHER MOTORS LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,EICHERMOT
ESCORTS KUBOTA LIMITED EQ EQ,ESCORTS
GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED EQ,GRSE
GLENMARK PHARMACEUTICALS LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,GLENMARK
GODREJ INDUSTRIES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,GODREJIND
HAVELLS INDIA LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,HAVELLS
HCL TECHNOLOGIES LIMITED EQ F.V. RS.2/-,HCLTECH
HINDALCO INDUSTRIES LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,HINDALCO
HINDUSTAN PETROLEUM CORPORATION LIMITED EQ EQ,HINDPETRO
IDBI BANK LIMITED EQ,IDBI
INDIAN OVERSEAS BANK EQ EQ,IOB
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED EQ NEW FV RS. 2/-,IRCTC
JK TYRE & INDUSTRIES LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,JKTYRE
MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,M&MFIN
MARUTI SUZUKI INDIA LIMITED EQ EQ,MARUTI
MISHRA DHATU NIGAM LIMITED EQ,MIDHANI
NIIT LEARNING SYSTEMS LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,NIITMTS
NIIT LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,NIITLTD
SBI LIFE INSURANCE COMPANY LIMITED EQ EQ,SBILIFE
SONA BLW PRECISION FORGINGS LIMITED EQ EQ,SONACOMS
TECH MAHINDRA LIMITED EQ NEW FV RS. 5/- EQ NEW FV RS. 5/-,TECHM
THE FEDERAL BANK LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,FEDERALBNK
THE NEW INDIA ASSURANCE COMPANY LIMITED EQ,NIACL
UCO BANK EQ EQ,UCOBANK
ZYDUS LIFESCIENCES LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,ZYDUSLIFE
JSW HOLDINGS LIMITED EQ,JSWHL
PIRAMAL FINANCE LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,SHRIRAMFIN
PIRAMAL PHARMA LIMITED EQ EQ,PPLPHARMA
BAJAJ AUTO LIMITED EQ EQ,BAJAJ-AUTO
BAJAJ FINSERV LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,BAJAJFINSV
BAJAJ HOLDINGS & INVESTMENT LIMITED. EQ EQ,BAJAJHLDNG
HEIDELBERGCEMENT INDIA LIMITED EQ,HEIDELBERG
DIAMOND POWER INFRASTRUCTURE LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,DIACABS
ICSA (INDIA) LTD EQ NEW RS. 2/-,DICIND
MICRO TECHNOLOGIES INDIA LIMITED EQ,DIXON
MONICA ELECTRONICS LIMITED EQ,MICEL
NAHAR INDUSTRIAL ENTERPRISES LIMITED EQ EQ,NAHARINDUS
PRECISION WIRES INDIA LIMITED EQ NEW FV Re.1/- EQ NEW FV Re.1/-,PRECWIRE
ROLTA INDIA LIMITED EQ,ROLTA
SAMBHAAV MEDIA LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,SAMBHAAV
SILVERLINE TECHNOLOGIES LIMITED EQ NEW RS. 10/- EQ NEW RS. 10/-,STLTECH
V L S FINANCE LIMITED EQ EQ,VLSFINANCE
VRL LOGISTICS LIMITED EQ EQ,VRLLOG
WELSPUN INVESTMENTS AND COMMERCIALS LIMITED EQ EQ,WELINV
WELSPUN LIVING LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,WELSPUNLIV
AARTI DRUGS LIMITED EQ EQ,AARTIDRUGS
ALOK INDUSTRIES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,ALOKINDS
GATEWAY DISTRIPARKS LIMITED EQ,GATEWAY
ITC HOTELS LIMITED EQ EQ,ITCHOTELS
ITC LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,ITC
JAIPRAKASH POWER VENTURES LIMITED EQ,JPPOWER
JAYASWAL NECO INDUSTRIES LIMITED EQ EQ,JAYNECOIND
JSW ENERGY LIMITED EQ EQ,JSWENERGY
UNITECH LIMITED EQ NEW FV RS.2/-,UNITECH
ANTHEM BIOSCIENCES LIMITED EQ NEW FV Rs. 2/- EQ NEW FV Rs. 2/-,ANTHEM
COMPUTER AGE MANAGEMENT SERVICES LIMITED EQ EQ,CAMS
JSW CEMENT LIMITED EQ EQ,JSWCEMENT
PARAS PETROFILS LIMITED EQ NEW FV RE. 1/-,PARASPETRO
RELIANCE INDUSTRIAL INFRASTRUCTURE LIMITED EQ,RIIL
ADITYA BIRLA SUN LIFE AMC LIMITED EQ NEW FV Rs.5/- EQ NEW FV Rs.5/-,ABSLAMC
EXIDE INDUSTRIES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,EXIDEIND
HAPPIEST MINDS TECHNOLOGIES LIMITED EQ EQ,HAPPSTMNDS
L&T TECHNOLOGY SERVICES LIMITED EQ EQ,LTTS
LATENT VIEW ANALYTICS LIMITED EQ EQ,LATENTVIEW
NARAYANA HRUDAYALAYA LIMITED EQ EQ,NH
PROTEAN EGOV TECHNOLOGIES LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,PROTEAN
QUICK HEAL TECHNOLOGIES LIMITED EQ EQ,QUICKHEAL
THE KARNATAKA BANK LIMITED EQ EQ,KTKBANK
LAMBODHARA TEXTILES LIMITED EQ NEW RS. 5/- EQ NEW RS. 5/-,LAMBODHARA
PASUPATI ACRYLON LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,PASUPTAC
THYROCARE TECHNOLOGIES LIMITED EQ EQ,THYROCARE
GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED NEW EQ RS. 2/- NEW EQ RS. 2/-,GMDCLTD
PENINSULA LAND LIMITED EQ NEW RS. 2/- EQ NEW RS. 2/-,PENINLAND
BEML LAND ASSETS LIMITED EQ,BLAL
BLUE STAR LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,BLUESTARCO
ION EXCHANGE (INDIA) LIMITED EQ NEW FV RE 1/- EQ NEW FV RE 1/-,IONEXCHANG
KEWAL KIRAN CLOTHING LIMITED EQ,KKCL
MAHINDRA LIFESPACE DEVELOPERS LIMITED EQ EQ,MAHLIFE
PVR INOX LIMITED EQ EQ,PVRINOX
TANLA PLATFORMS LIMITED EQ NEW RE.1/- EQ NEW RE.1/-,TANLA
THE INDIAN HOTELS COMPANY LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,INDHOTEL
TRENT LIMITED EQ NEW FV Re. 1/- EQ NEW FV Re. 1/-,TRENT
CENTURY ENKA LIMITED EQ,CENTENKA
DATAMATICS GLOBAL SERVICES LIMITED EQ EQ,DATAMATICS
RAYMOND LIFESTYLE LIMITED EQ NEW FV RS 2/- EQ NEW FV RS 2/-,RAYMONDLSL
RAYMOND LIMITED EQ,RAYMOND
RAYMOND REALTY LIMITED EQ EQ,RAYMONDREL
S.A.L STEEL LIMITED EQ,SALSTEEL
SOBHA LIMITED EQ EQ,SOBHA
ARVIND REMEDIES LIMITED EQ NEW FV RS.10/,INDOCO
PLETHICO PHARMACEUTICALS LIMITED EQ,APLLTD
HEMISPHERE PROPERTIES INDIA LIMITED EQ EQ,HEMIPROP
ISGEC HEAVY ENGINEERING LIMITED EQ NEW FV RS 1 /,ISGEC
MOTHERSON SUMI WIRING INDIA LIMITED EQ EQ,MSUMI
NATIONAL FERTILIZERS LIMITED EQ,NFL
RAMKRISHNA FORGINGS LTD EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,RKFORGE
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED EQ FV RS. 1/- EQ FV RS. 1/-,MOTHERSON
ALEMBIC PHARMACEUTICALS LIMITED EQ,APLLTD
APOLLO HOSPITALS ENTERPRISE LIMITED EQ NEW F.V. RS.5/-,APOLLOHOSP
BRITANNIA INDUSTRIES LTD EQ NEW FV RS 1 EQ NEW FV RS 1,BRITANNIA
HAPPY FORGINGS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,HAPPYFORGE
HYUNDAI MOTOR INDIA LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,HYUNDAI
INNOVA CAPTAB LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,INNOVACAP
TATA ELXSI LIMITED EQ EQ,TATAELXSI
DR. LAL PATHLABS LIMITED EQ NEW FV RS. 10/- EQ NEW FV RS. 10/-,LALPATHLAB
ESSAR SHIPPING LIMITED EQ EQ,ESSARSHPNG
HERO MOTOCORP LIMITED EQ FV RS 2 EQ FV RS 2,HEROMOTOCO
MANALI PETROCHEMICAL LIMITED EQ NEW FV RS. 5/-,MANALIPETC
POLYCAB INDIA LIMITED EQ EQ,POLYCAB
R SYSTEMS INTERNATIONAL LIMITED EQ NEW FV Re.1/- EQ NEW FV Re.1/-,RSYSTEMS
RATTANINDIA POWER LIMITED EQ,RTNPOWER
AVENUE SUPERMARTS LIMITED EQ,DMART
MAX ESTATES LIMITED EQ EQ,MAXESTATES
MAX FINANCIAL SERVICES LIMITED EQ NEW FV RS. 2/-,MFSL
MAX HEALTHCARE INSTITUTE LIMITED EQ EQ,MAXHEALTH
MAX INDIA LIMITED EQ EQ,MAXIND
PROCTER & GAMBLE HEALTH LIMITED EQ,PGHL
SUN PHARMA ADVANCED RESEARCH COMPANY LIMITED EQ,SPARC
ASTER DM HEALTHCARE LIMITED EQ EQ,ASTERDM
BELRISE INDUSTRIES LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,BELRISE
EDUCOMP SOLUTIONS LIMITED EQ NEW F.V. RS.2/-,EDUCOMP
ETERNAL LIMITED EQ EQ,ETERNAL
GOPAL SNACKS LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,GOPAL
INFIBEAM AVENUES LIMITED EQ NEW FV RE. 1/- EQ NEW FV RE. 1/-,INFIBEAM
ODIGMA CONSULTANCY SOLUTIONS LIMITED EQ EQ,ODIGMA
ORIENT GREEN POWER COMPANY LIMITED EQ EQ,GREENPOWER
PB FINTECH LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,POLICYBZR
RASHI PERIPHERALS LIMITED EQ NEW FV RS.5/- EQ NEW FV RS.5/-,RPTECH
REGAAL RESOURCES LIMITED EQ NEW FV RS 5/- EQ NEW FV RS 5/-,REGAAL
SASTASUNDAR VENTURES LIMITED EQ,SASTASUNDR
SESHAASAI TECHNOLOGIES LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,AAATECH
SHANTI GOLD INTERNATIONAL LIMITED EQ EQ,SHANTIGOLD
TD POWER SYSTEMS LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,TDPOWERSYS
GRASIM INDUSTRIES LTD EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,GRASIM
APOLLO MICRO SYSTEMS LIMITED EQ NEW FV RE 1/- EQ NEW FV RE 1/-,APOLLO
IGARASHI MOTORS INDIA LIMITED EQ,IGARASHI
KALYAN JEWELLERS INDIA LIMITED EQ EQ,KALYANKJIL
TRIVENI ENGINEERING AND INDUSTRIES LIMITED EQ NEW FV RS 1/- EQ NEW FV RS 1/-,TRIVENI
TRIVENI TURBINE LIMITED EQ EQ,TRITURBINE
VESUVIUS INDIA LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,VESUVIUS
WANBURY LIMITED EQ NEW FV RS.10/- EQ NEW FV RS.10/-,WANBURY
EMKAY GLOBAL FINANCIAL SERVICES LIMITED EQ EQ,EMKAY
GOKUL AGRO RESOURCES LIMITED EQ NEW FV RE.1/- EQ NEW FV RE.1/-,GOKULAGRO
GOKUL REFOILS AND SOLVENT LIMITED EQ NEW F.V. RS.2/-,GOKUL
INFO EDGE (INDIA) LIMITED EQ NEW FV RS.2/- EQ NEW FV RS.2/-,NAUKRI
KERNEX MICROSYSTEMS (INDIA) LIMITED EQ EQ,KERNEX
MIC ELECTRONICS LIMITED EQ NEW FV RS. 2/- EQ NEW FV RS. 2/-,MICEL
SUN TV NETWORK LIMITED EQ NEW RS. 5/-,SUNTV
